model,dataset,scenario,macro_f1,macro_recall,macro_precision,micro_f1,micro_recall,micro_precision,weighted_f1,hit_at_3,hit_at_5,mrr,map,hamming_loss,train_sec,vram_mb,total_test_labels,missed_labels,missed_pct
BERT,cti-mitre,A0,0.46469028824928776,0.42726624653482503,0.555606261152679,0.752330060892258,0.7181494661921708,0.7899269311064718,0.7310066862721508,0.897025743564109,0.9250187453136716,0.8339768104294064,0.829334767195951,0.0026496035565576692,898.5108087062836,4341.27001953125,188,55,29.25531914893617
BERT,cti-mitre,G0,0.5927984704029787,0.5661828667004903,0.6710198886953759,0.7493498699739948,0.725406661502711,0.7749275961936285,0.7344808009056641,0.8879410624272974,0.9243892981775882,0.8242456158952164,0.8240389002464689,0.002584293763870212,714.4942588806152,3742.7119140625,188,25,13.297872340425531
BERT,cti-mitre,B1,0.568883293982145,0.5252501642456426,0.6797137993104572,0.7475946775844422,0.7072037180480247,0.7928788536691272,0.7293372345658523,0.8844513377278015,0.9228383094222566,0.823180315465292,0.8230187274322598,0.002543044062930544,703.473748922348,3740.88427734375,188,30,15.957446808510639
BERT,cti-mitre,G1,0.613004540209661,0.5639781402229309,0.7238362851185401,0.7808981813683038,0.7487544483985765,0.8159255429162358,0.7703789462172544,0.9065233691577106,0.9300174956260935,0.8521104189578832,0.8471323569271325,0.0023544645753455253,2137.0530636310577,4343.8603515625,188,23,12.23404255319149
BERT,cti-mitre,B2,0.5979650335559809,0.5517127594950508,0.7015488085624833,0.7730968218773097,0.7444839857651245,0.8039969254419678,0.7640565048886253,0.8987753061734567,0.9242689327668083,0.8462492487222838,0.8416365842918269,0.0024488558711385985,1838.5309433937073,4343.8603515625,188,28,14.893617021276595
BERT,joint,A0,0.46469028824928776,0.42726624653482503,0.555606261152679,0.752330060892258,0.7181494661921708,0.7899269311064718,0.7310066862721508,0.897025743564109,0.9250187453136716,0.8339768104294064,0.829334767195951,0.0026496035565576692,866.783881187439,4341.27001953125,188,55,29.25531914893617
BERT,joint,G0,0.6203650510442986,0.5755511282212361,0.7201631009277827,0.7725397023883956,0.732858837485172,0.8167636171337916,0.7616420285704151,0.9105223694076481,0.9352661834541365,0.8499750585714011,0.8455992313839147,0.002418278409121124,1260.3356502056122,4328.7880859375,188,21,11.170212765957446
BERT,joint,B1,0.6112786144284871,0.5727947284927192,0.7070660049318408,0.7737801872843766,0.7449584816132859,0.8049218149192515,0.7633761480400136,0.9100224943764059,0.9347663084228943,0.8520487038095496,0.8474650625997999,0.0024408791419166485,1239.904180765152,4332.25048828125,188,23,12.23404255319149
BERT,joint,G1,0.613004540209661,0.5639781402229309,0.7238362851185401,0.7808981813683038,0.7487544483985765,0.8159255429162358,0.7703789462172544,0.9065233691577106,0.9300174956260935,0.8521104189578832,0.8471323569271325,0.0023544645753455253,2109.6831891536713,4343.8603515625,188,23,12.23404255319149
BERT,joint,B2,0.5979650335559809,0.5517127594950508,0.7015488085624833,0.7730968218773097,0.7444839857651245,0.8039969254419678,0.7640565048886253,0.8987753061734567,0.9242689327668083,0.8462492487222838,0.8416365842918269,0.0024488558711385985,1803.2221598625183,4343.8603515625,188,28,14.893617021276595
BERT,tram,A0,0.7245653610765376,0.654554352622192,0.8587832410836979,0.8114020550215446,0.7477092241905925,0.8869565217391304,0.8026350554933862,0.9501404494382022,0.9648876404494382,0.9097626599123013,0.8950120045449506,0.007991573033707865,380.0281517505646,4341.2587890625,50,3,6.0
BERT,tram,G0,0.8154747291408226,0.7947487502494517,0.8595817441243908,0.8234200743494424,0.8118509468540013,0.835323695788812,0.8220764554571316,0.9543539325842697,0.9662921348314607,0.9158740521588908,0.9025316200011876,0.00800561797752809,531.5339913368225,4354.8916015625,50,0,0.0
BERT,tram,B1,0.8065212256340257,0.8034339766561631,0.8289778740044944,0.8214716525934861,0.8320097739767868,0.8111971411554497,0.8217433083580752,0.9536516853932584,0.9691011235955056,0.9140674880401339,0.900308603010687,0.008314606741573034,516.0638308525085,4349.2060546875,50,0,0.0
BERT,tram,G1,0.7919942741691064,0.7311841605967324,0.8909140303851305,0.8300907911802854,0.7819181429444105,0.8845888044229441,0.8258163720984881,0.9585674157303371,0.9691011235955056,0.9203674733142478,0.9068670294787962,0.007359550561797753,871.044052362442,4352.25244140625,50,1,2.0
BERT,tram,B2,0.8023560800353312,0.7512673184881422,0.8793552661149768,0.8354673495518566,0.7971899816737935,0.8776059179556154,0.8318864176880382,0.9466292134831461,0.9655898876404494,0.9200419208491956,0.9061763001330253,0.007219101123595506,863.1025567054749,4349.2060546875,50,1,2.0
DistilBERT,cti-mitre,A0,0.4716377998069051,0.41776467402047684,0.6190081092774719,0.7318747318747318,0.6607281177381874,0.8201923076923077,0.701455514592538,0.8766963939511438,0.911981388134936,0.813736689126765,0.8136198166010347,0.002578106308729262,280.5689535140991,2641.9541015625,188,50,26.595744680851062
DistilBERT,cti-mitre,G0,0.5907033026477517,0.5377615956352073,0.7196433845798321,0.7483361064891847,0.6967467079783114,0.8081761006289309,0.7294612607278629,0.8801861186506398,0.9146956184567662,0.819273847822444,0.8190668362738271,0.0024956069068499255,351.5547366142273,2639.4130859375,188,26,13.829787234042554
DistilBERT,cti-mitre,B1,0.575442797139938,0.5231129896565827,0.6950106846609789,0.7406185567010309,0.6955848179705655,0.7918871252204586,0.7236489687622952,0.8813493602171384,0.9104303993796045,0.8173569538894496,0.8171752148796763,0.002594606189105129,358.58701634407043,2638.33251953125,188,27,14.361702127659576
DistilBERT,cti-mitre,G1,0.6015793347694524,0.5693248775896529,0.6811778654722451,0.7622836681917645,0.7420604182804028,0.783640081799591,0.7486180827147972,0.8770841411399767,0.9069406746801085,0.8189285813302823,0.8187047927741778,0.0024646696311451744,598.3563358783722,2639.4130859375,188,28,14.893617021276595
DistilBERT,cti-mitre,B2,0.5868039713418784,0.5496697238273777,0.6755211104211899,0.7583051521782375,0.7381874515879163,0.7795501022494887,0.7456507853677202,0.8759208995734781,0.9065529274912757,0.8199382132117041,0.819734913888831,0.0025059193320848424,592.5529503822327,2641.615234375,188,29,15.425531914893616
DistilBERT,joint,A0,0.5029002153260878,0.44940645701327825,0.6437157136671792,0.7634771732332708,0.7240806642941874,0.8074074074074075,0.7458846626482896,0.9012746813296676,0.9257685578605349,0.8397851342706983,0.834840805152275,0.002513999159784522,468.8979368209839,4619.384765625,188,42,22.340425531914892
DistilBERT,joint,G0,0.6311767592073324,0.5814170001097912,0.7404011953892514,0.7705487956295008,0.7361803084223013,0.8082834071372753,0.7617274776375922,0.9025243689077731,0.9280179955011247,0.8471419581304597,0.842498961487539,0.002456832600360548,645.3220982551575,4616.00390625,188,18,9.574468085106384
DistilBERT,joint,B1,0.6170751168006655,0.569424512146382,0.7211722610065139,0.7765732087227414,0.73926453143535,0.8178477690288714,0.7671137953940608,0.9032741814546363,0.9302674331417146,0.8482766532845153,0.8442409187486272,0.002383712582492675,676.6929869651794,4618.931640625,188,23,12.23404255319149
DistilBERT,joint,G1,0.6287558099548127,0.5855711829504014,0.7216009952004355,0.7796610169491526,0.7584816132858837,0.8020572002007025,0.7717548472985634,0.8995251187203199,0.9252686828292926,0.8486206816480099,0.8441958447418995,0.0024023249506772244,1085.630934715271,4621.736328125,188,21,11.170212765957446
DistilBERT,joint,B2,0.6190558916662995,0.5676768063205138,0.7265528533944555,0.7877199550730064,0.7487544483985765,0.8309636650868878,0.7777457501681396,0.9010247438140465,0.9242689327668083,0.8509426106391406,0.845964708186976,0.0022614027344227774,1066.8170523643494,4621.736328125,188,25,13.297872340425531
DistilBERT,tram,A0,0.7815751207930675,0.758284349221982,0.8291079495315743,0.8241486068111455,0.8130726939523518,0.8355304456999372,0.8220094112571277,0.9543539325842697,0.9669943820224719,0.9128350197236746,0.8988525385592276,0.00797752808988764,226.81415152549744,4616.439453125,50,1,2.0
DistilBERT,tram,G0,0.7969458486528326,0.7500986825766559,0.8732542041008149,0.8212218649517685,0.7800855222968845,0.86693822131704,0.8184235983933745,0.9564606741573034,0.9705056179775281,0.9146012890966939,0.9009020902594558,0.007808988764044944,296.86131858825684,4615.2373046875,50,0,0.0
DistilBERT,tram,B1,0.8145096293175443,0.7915174009154474,0.8592980605085827,0.8274363749224084,0.8142944410507025,0.8410094637223975,0.826444872348003,0.9550561797752809,0.9669943820224719,0.9089573665563382,0.8959807877555308,0.007808988764044944,296.1935393810272,4616.0146484375,50,0,0.0
DistilBERT,tram,G1,0.7941537892647268,0.7533232547801666,0.8665478171769994,0.8381979695431472,0.8069639584605987,0.8719471947194719,0.8348775504027046,0.9557584269662921,0.9669943820224719,0.9174076967160982,0.904362285536594,0.007162921348314606,502.11065459251404,4616.705078125,50,1,2.0
DistilBERT,tram,B2,0.7876280343098853,0.7687644508035462,0.8332489241004436,0.8262476894639557,0.8191814294441051,0.8334369173399627,0.8239239493315071,0.9501404494382022,0.9655898876404494,0.9112511856777534,0.8980299838281671,0.007921348314606742,453.12821221351624,4616.705078125,50,1,2.0
